category,topic
IN THE DICTIONARY,Languages
CITY NICKNAMES,Geography
WHAT HAPPENED?,History & Politics
"""ING""LISH",Word Play
U.S. MEMORIALS,History & Politics
I WROTE THAT BESTSELLER,Literature & Philosophy
ANCIENT JERUSALEM,History & Politics
BILLBOARD NO. 1 ALBUMS,Music & Theater
THE CDC SAYS,Science & Math
THEIR ORIGINAL NAMES,History & Politics
BEER ME!,Misc
42,Misc
TURN UP THE HEAT,Word Play
IT'S CHILE IN HERE,Geography
DANCE COMPANIES,Music & Theater
LETTER PERFECT,Word Play
THE U.S. AMBASSADOR TO THE U.N.,History & Politics
CLASSIFICATION IS IN,
AT THE MOVIES,TV & Film
END OF THE LINE,
20th CENTURY AMERICAN WRITERS,Literature & Philosophy
CAPES OF ALL SHAPES,Word Play
SHE CREATED HIM,
SOMEBODY CALLED FOR A DOCTRINE,Literature & Philosophy
CHRISTMAS PARTIES,
WHAT'S FOR LUNCH?,Food & Culture
"""B-L-T""",Word Play
LEFT TO YOUR OWN DEVICES,Misc
A LITTLE ALLITERATION,Word Play
AWARDS & HONORS,Misc
RECENTLY DIRECTED,TV & Film
LANDMARKS,Geography
MEAN JOE,
1920s LITERATURE,Literature & Philosophy
ANTIQUES,History & Politics
ROAD SHOW,
ABBREVIATIONS,Word Play
EUROPEAN RULERS,History & Politics
COLORFUL MOVIES,TV & Film
"STARTS WITH ""M""",Word Play
CIVIL WAR LITERATURE,Literature & Philosophy
COUNTRY OF BIRTH,Geography
ADVENTURES IN JOURNALISM,
TOON TIME,TV & Film
CHEMISTS,Science & Math
HETERONYMS,Word Play
STATES' HIGHEST POINTS,Geography
SOCK IT TO ME,
SPORTS TERMS,Sports & Games
TENNESSEE'S WILLIAMS,History & Politics
"""BLOCK"" PARTY",Word Play
EAT PREY,
LOVE,
THE 12th CENTURY,History & Politics
GRAMMAR,Languages
THE P-51 MUSTANG,Misc
ARCHITECTURE,Art & Architecture
WOODY GUTHRIE,Music & Theater
THIS ISLAND IS YOUR ISLAND,Geography
PEOPLE IN BRITISH HISTORY,History & Politics
LITERARY RELATIONS,Literature & Philosophy
HODGEPODGE,Misc
ORDINAL NUMBER PHRASES,
I'M GAME,
PORT,
STAR BOARDS,
"GERMAN ""E""",
GEOGRAPHIC PHRASES,Geography
18th CENTURY TECHNOLOGY,History & Politics
POLITICAL MEMOIRS,Literature & Philosophy
MARVEL NOW!,
OLYMPIC GOLD MEDALISTS,Sports & Games
A BUNCH OF IDIOMS,Word Play
MEDICAL EQUIPMENT,Science & Math
1892,History & Politics
RESTAURANTS BY SLOGAN,Food & Culture
TALK OF THE TOWN,
THEIR SOLE OSCAR NOMINATION,TV & Film
BANGLADESH,Food & Culture
NOTORIOUS WOMEN,History & Politics
SHIP SHAPE,
THE ARTS,Art & Architecture
"STARTS WITH ""C""",Word Play
THEIR SOUL GRAMMY NOMINATION,Music & Theater
LITERARY FIRST LINES,Literature & Philosophy
ANAGRAMMED AMERICA,Word Play
SCHOOLING AROUND,
YOUR CHOICE OF 3,Misc
HIGH SCORERS,
IRAN,Food & Culture
"ENDS IN ""Y""",Word Play
SPEED WRITING,
BEVERAGE BRANDS,Food & Culture
THEIR ALBUM ROCKS!,Music & Theater
FAMILIAR PHRASES,Languages
"""OF"" MEN",Word Play
& MICE,
FIGHTING MONARCHS,History & Politics
NAME THE PARENT COMPANY,Misc
HISTORICAL HODGEPODGE,History & Politics
MEASURED LANGUAGE,Languages
SHELF RELIANCE,
'80s NO.1 HITMAKERS,Music & Theater
"""TIN"" MEN",Word Play
STATE OF THE ART MUSEUM,Art & Architecture
THE RESIDENTS,
CEMETERIES,History & Politics
"10 CHARACTERS, 5 AUTHORS",Literature & Philosophy
RHYME TIME,Word Play
CAMBODIAN HISTORY & CULTURE,Food & Culture
SEX & THE CONSTITUTION,History & Politics
NEWSPAPERS,History & Politics
AFRICAN CITIES,Geography
MEN'S HAIRSTYLES,Food & Culture
FILMS BY SUBTITLE,TV & Film
HISTORICAL QUOTES,History & Politics
"""CAT"" OR ""DOG""?",Word Play
LET ME PREFACE THAT,
COMPLETE DOM-INATION,Word Play
POTPOURRI,Misc
MUSICAL NUMBERS,Music & Theater
I'M BURNIN' FOR YOU,
10-LETTER WORDS,Word Play
IMAGINARY CHARACTERS,Literature & Philosophy
HOW DO YOU?,
ORIGINAL OPERA TITLES,Music & Theater
RULE OF THIRDS,Misc
UCLA CELEBRITY ALUMNI,Food & Culture
4-SYLLABLE WORDS,Word Play
2000: THE YEAR IN QUOTATIONS,History & Politics
IT'S PLAY TIME,
DAYS OF YORE,
ACTORS WHO DIRECT,TV & Film
FEMALE FIRSTS,History & Politics
AMERICAN REGIONALISMS,Languages
HOLD THE FORT!,
AMERICAN SPORTS LEGENDS,Sports & Games
GUINNESS RECORDS,Misc
THE 6 NEW ENGLAND STATES,Geography
IT'S MATTHEW PERRY,TV & Film
HOCKEY TALK?,Sports & Games
DOUBLE-ZERO YEARS,History & Politics
WEB CEREALS,
MOVIE JOBS,TV & Film
DIRECTOR,
EDITOR,
WARDROBE,
EXTRAS,
"BEST ""BOY""",Word Play
PRESIDENTIAL DISTINCTIONS,History & Politics
COMPUTING,Science & Math
U.S. PLACE NAMES,Geography
TV NEWS,TV & Film
"THANKS TO OUR ""VET""s",Word Play
ENTERTAINMENTS,
SUPERSTARS OF SCIENCE,Science & Math
OUTLAWS,History & Politics
IN-LAWS,
WORDS FOUND BEFORE BEAR,Word Play
THE UNREAL McCOYS,
THE LONDON STAGE,Music & Theater
"""F""OOD LOVERS",Word Play
CAPITAL CITIES,Geography
MOVIE TAGLINES,TV & Film
GEE! IT'S GEOLOGY,Science & Math
LETTER SECRET IDENTITIES,Misc
AMERICANA,Food & Culture
VICTOR HUGO,
WHERE IS THAT PLANET?,
HISTORICAL ONLINE CHECK-INS,History & Politics
CALL ME ISRAEL,Misc
POSSESSIVE BOOK TITLES,Literature & Philosophy
4-LETTER WORLD CAPITALS,Geography
2012 IN MEMORIAM,History & Politics
"THE ""WARD"" OF THE DAY",Word Play
LEGAL TERMS,Languages
MUDDY WATERS,
DR. JOHN,
"BUDDY, GUY",
B.C. KING,
SINGING THE BLUES,Music & Theater
MY WOMAN IS GONE & MY WHISKEY RAN DRY,
IMPEACHED!,History & Politics
MIKE,Misc
"""QUE"" TIPS",Word Play
THE ACTOR'S RESUME,Music & Theater
ENGLISH LITERATURE,Literature & Philosophy
SCIENCE 101,Science & Math
COUNTRIES OF THE WORLD,Geography
ON THE MAGAZINE'S COVER,Food & Culture
RELIGIOUS LEADERS,History & Politics
FROM FILM TO BROADWAY MUSICAL,TV & Film
STUPID GEOGRAPHY ANSWERS,Geography
PUBLISHED POSTHUMOUSLY,Literature & Philosophy
"SAME 4 LETTERS, DIFFERENT WORD",Word Play
NASA GLOSSARY,Science & Math
WOMEN IN SPORTS,Sports & Games
WELLS,
WORLD HISTORY,History & Politics
"I'D LOVE SOME ""POI""",Word Play
THE NEAREST CANADIAN PROVINCE TO...,Geography
U.S. LANDMARKS,Geography
FOOD WORDS & PHRASES,Food & Culture
THE STORY OF ENGLISH,History & Politics
DVD SPECIAL FEATURES,TV & Film
THE CITY IN QUESTION,Geography
WHERE'D YOU GO TO COLLEGE?,Geography
TITLE CHANGES,
SOCIAL MEDIA,Misc
"""RR"" CROSSING",Word Play
MAURITANIA & MOROCCO,Geography
THE DAILY SHOW ALUMNI,TV & Film
THE RENAISSANCE,History & Politics
THIS MEANS WAR!,History & Politics
19th CENTURY LITERARY INTRODUCTIONS,Literature & Philosophy
LANGUAGES & DIALECTS,Languages
FOOD,Food & Culture
THE SILVER STATE,Geography
"I DO, I DO, I DO",
THE AMAZING SPIDER,Science & Math
"""MAN""",Word Play
HORRIFYINGLY REAL MOTHER GOOSE,
WATERCRAFT,Misc
TRIPLE DOUBLE LETTERS,Word Play
TO YOUR HEALTH,Science & Math
TV SHOWS IN SONG,TV & Film
DECADES BY NICKNAME,History & Politics
MILITARY SLOGANS,Misc
FILL THE PRESCRIPTION,Science & Math
"""T"" TIME",Word Play
SWANS,Science & Math
RUNNING INTO THE FURNITURE TERMS,Misc
TV THEME SONGS,Music & Theater
TABLE OF CONTENTS,
THE COSSACKS,History & Politics
OSCARS FOR MAKEUP,TV & Film
MOST POPULOUS COUNTRIES,Geography
"""AN"" THE BEGINNING",Word Play
CAPE TOWN,History & Politics
CONTENTS OF TABLES,
MUSEUMS,Food & Culture
IF THE SHOE FITS...,
ART & ARTIST,Art & Architecture
"THE ""B"" TEAM",Word Play
WEIGHTS & MEASURES,Science & Math
NOUN; VERB,Word Play
I'M DYING HERE!,
HERE COMES THE JUDGE,
METALS,Science & Math
SONGS FOR YOUR CAT,Music & Theater
ANCIENT HISTORY,History & Politics
"""USE""FUL INFORMATION",Word Play
LITERARY LAST LINES,Literature & Philosophy
OFFICIAL COUNTRY NAMES,Geography
LET'S TAKE A VACATION,
BANNED!,
THE WOMEN OF SATURDAY NIGHT LIVE,TV & Film
OF RICE & HEN,Food & Culture
THE 15th CENTURY,History & Politics
"""HOP"" IN",Word Play
THE SECRETARY OF STATE WHO...,History & Politics
PRONOUN-CIATION,Word Play
CARY GRANT FILMS,TV & Film
"""K"" ON THE MAP",Geography
MATH IS A 7- OR 8-LETTER WORD,Science & Math
GIVE OR TAKE,
WOMEN AUTHORS,Literature & Philosophy
DEM BONES,Science & Math
GEOGRAPHIC BANDS,Music & Theater
AT THE WEBSITE OF THE CABINET DEPT.,History & Politics
EUROPEAN HISTORY,History & Politics
"""ITCH""Y",Word Play
SCRATCHY,
small state capitals,Geography
WHAT'S ON TV?,TV & Film
NAME THE POET,Literature & Philosophy
"THAT'S A CLOWN QUESTION, BRO",Misc
A HOUSE IN LONDON,
"A, B, C, D, E & THAT'S ALL",Word Play
MUSICAL THEATRE,Music & Theater
PROVERBS,
SENDING THINGS,
THE APPROPRIATE SPORT THEY PLAYED,Sports & Games
NOT JUST DESSERTS,Food & Culture
MYTHOLOGICAL MISTAKES,Literature & Philosophy
"THE ANIMA""LL"" KINGDOM",Word Play
"A LITTLE ""BRO""MANCE",Word Play
PENINSULAS,Geography
INTERNATIONAL TV TITLES,TV & Film
NON-BRITISH ROYALS,History & Politics
FABRICS,Food & Culture
THE GRAMMYS,Music & Theater
MINT MARKS,
RECENT BOOKS,Literature & Philosophy
AMERICAN KNIGHTS,Food & Culture
THE RACE IS ON,
NATURE,Science & Math
WE'RE PULLING 3 Gs,
THE ARTIST,Art & Architecture
THE 1940s,History & Politics
HONORARY ACADEMY AWARDS,TV & Film
"""E""-OGRAPHY",Geography
METEOROLOGICAL TERMS,Science & Math
THE STATE OF THE MALL,
YOU'RE GONNA NEED CAR INSURANCE,
I AM YOUR LEADER,
FOLLOW ME,
ON FACEBOOK & TWITTER,
THE AUTHOR'S CHARACTERS,Literature & Philosophy
MTV MOVIE AWARDS,TV & Film
"""DC""",Word Play
ANNUAL EVENTS,Food & Culture
ELECTRICITY,Science & Math
POMPEII,History & Politics
HISTORIC QUOTES,History & Politics
ONE DIRECTION,Misc
FILL IN THE BOOK TITLE,Literature & Philosophy
SPORTS TALK,Sports & Games
BREAKFAST CEREALS,Food & Culture
MEMBERS OF MI FAMILIA,Languages
NEAR THE END OF THE CENTURY,History & Politics
INDIA,Geography
"G ""OME""",Word Play
MEET THE MONOTREMES!,
AFTER SCHOOL,
JEWISH STARS,Food & Culture
AROUND THE WHITE HOUSE WITH ALEX,
FUNDRAISING,
WORDS CONTAINING SILENT LETTERS,Word Play
MYTHOLOGY,Literature & Philosophy
IT'S ELEMENTAL!,Science & Math
DISNEY MOVIES BY VILLAIN,TV & Film
NOT TO BE CONFUSED,
HOMECOMING,
AMERICAN NOVELISTS,Literature & Philosophy
TV SHOW SUM-UP,TV & Film
"""Y"" IS THE ONLY VOWEL",Word Play
WORLD RIVERS,Geography
THE 113th CONGRESS,History & Politics
BAD LUCK?,
THE PLANETS,Science & Math
SURPRISE! I GOT YOU A LANDMARK!,
SPORTS STARS,Sports & Games
19th CENTURY AMERICA,History & Politics
COMPLETES THE BOOK TITLE,Literature & Philosophy
GETTING NERVOUS,
BEFORE FINALS,Misc
NEW IN MERRIAM-WEBSTER,Languages
GOVERNMENT & POLITICS,History & Politics
POP CULTURE,Food & Culture
HIGH SCHOOL GEOGRAPHY,Geography
A STUDENT OF HISTORY,History & Politics
"""HY"" FIVE",Word Play
SHORT STORIES,Literature & Philosophy
FICTIONAL FEMALES,Literature & Philosophy
LET'S WRITE A SHORT STORY,Literature & Philosophy
THE NAME OF THE GAME,Food & Culture
U HAVE 2 SIGN MY YEARBOOK,
THE ENDANGERED SPECIES LIST,Science & Math
L.A. TV,TV & Film
"""SO"" BE IT",Word Play
RECENT HISTORY,History & Politics
HEALTHY EATING,Food & Culture
FROM THE TOP,Music & Theater
MOUNT RUSHMORE,
"HEY, I JUST MET YOU",
THIS IS CRAZY,
BUT HERE'S MY NUMBER,
SO CALL ME,
"MAY ""B""",
"YEAH, WE WENT THERE",
"HAPPY 100th BIRTHDAY, FEDERAL RESERVE!",History & Politics
VOCABULARY,Languages
ART & ARTISTS,Art & Architecture
I SAW THAT ON TV,TV & Film
SLICES OF ORANGE,
"ANATOM""E""",Science & Math
FAMOUS ASIANS,Food & Culture
PIZZA-PALOOZA,Food & Culture
RELIGIONS,Food & Culture
MAJOR LEAGUE SPORTS CITIES,Geography
ACADEMIC ANAGRAMS,Word Play
"YOUR FRIENDS, THE POLICE",Misc
"""A"" ""P"" HISTORY",Word Play
THE VOICE...,
SKIP IT,
BIOLOGY,Science & Math
COUNTRY FACTS,Geography
"CROSSWORD CLUES ""E""",Word Play
AFRICAN AMERICANS,History & Politics
MOVIES BY CAST,TV & Film
WEIRD SCIENCE,Science & Math
INTERNATIONAL LANGUAGE LESSONS,Languages
BE PRODUCTIVE,
"WORK""ER""S",
HISTORY IS HAPPENING,History & Politics
COMPLETE THE LYRIC,Music & Theater
LET'S VISIT A MUSEUM,Food & Culture
BOOKS & AUTHORS,Literature & Philosophy
WHAT TO WEAR?,Food & Culture
STARTS WITH...,Word Play
U.S. GOVERNMENT,History & Politics
FROM THE GREEK,Languages
GINGHAM STYLE,
BOOK TITLE CHARACTERS' LAST NAMES,Literature & Philosophy
OLYMPIC HOST CITIES,Geography
PLANE SPEAKING,Science & Math
THE LEFTY,
FROM ZORBA THE GREEK,
SCIENCE,Science & Math
"CROSSWORD CLUES ""J""",Word Play
THE 4 ELEMENTS,Misc
PRESIDENTIAL ACQUISITIONS,History & Politics
"THE LATE, GREAT COMEDIAN",Food & Culture
THE ROSETTA STONE,History & Politics
GREAT BRITON,
TIE ONE,
"""TAS""-MANIA",
AISLE OF MAN,
CANARIES,
SURROUNDED BY WATER,Geography
PIN THE TALE ON THE WRITER,Literature & Philosophy
LET'S ROCK,Science & Math
"""BABY"" MOVIES",TV & Film
THE OLD FARMER'S ALMANAC 2013,
U.S. POLITICS,History & Politics
PUNNY & NOT-PUNNY DEFINITIONS,Languages
PORTU-GALS & GUYS,
GENETICS,
3 Ls,Word Play
TONY-WINNING MUSICALS IN OTHER WORDS,Music & Theater
AN IMPORTANT QUESTION,
WHO WANTS A SANDWICH?,Food & Culture
NAME THE COMPOSER,Music & Theater
WHO'S YOUR MAMA?,Food & Culture
AMERICAN HISTORY,History & Politics
LAKES,Geography
NATURAL SYMBOLS,
LET'S MAKE THEM SCOTTISH,
FAMOUS WOMEN,History & Politics
NATIONALITIES?,
LITERARY TERMS,Literature & Philosophy
BING'S TOP SEARCHES: 2012,Misc
"AN ""IMP""ISH CATEGORY",
MICRO,
MANAGE,
NONFICTION,Literature & Philosophy
THE TV CHARACTER'S JOB,TV & Film
LET'S GO TO THE CIRCUS,
1960s BLACK AMERICA,History & Politics
WORLD CAPITALS,Geography
WHO'S ON FIRST?,
"SAY ""LA-V""",
HOUSEHOLD HINTS,
TILE LAND,
COMPUTER LINGO,Science & Math
THE FUTURE,
BRIDES OF SHAKESPEARE,Literature & Philosophy
THE LIFE OF A GENIUS,
G.I. JOES,
"THE BEGINNING, MIDDLE & END LETTER",Word Play
THE WIZ,
EASEL DOWN THE ROAD,
THE NEW 7 WONDERS OF THE WORLD,Geography
ETIQUETTE,Food & Culture
ON THE MAP,Geography
WE'VE HIT BOTTOM,
EVERYTHING FROM A TO C,
BRITCOMS,
LITERATURE: THE END OF THE LINE,
IT HAPPENED IN THE 1200s,History & Politics
TRIOS,
WORDS IN THE GETTYSBURG ADDRESS,Word Play
INSECT EATERS,
"4-LETTER ""K""ROSS WORLD CLUES",Word Play
MOVIES: THE LINE OF THE END,TV & Film
CLASSIC JAZZ SONGS,Music & Theater
THE WIT OF OSCAR WILDE,Literature & Philosophy
HEAVY METAL HEROES,Music & Theater
"""B"" NICE",
NAMES IN AMERICAN LORE,
THE YEAR THAT WAS,
PSYCH! (-OLOGY),Science & Math
ALMOST BEFORE & AFTER,
ROYAL WEDDINGS,Misc
DIRECTORS' BIG SCREEN FAREWELLS,TV & Film
THE LARGE HADRON COLLIDER,Science & Math
RUSSIAN HISTORY,History & Politics
AFI LIFE ACHIEVEMENT AWARDS,
COATS OF ARMS,
LITERARY WHOSE WHAT?,Literature & Philosophy
GREEN VEGGIES,Food & Culture
GADGETS,Misc
"YOU'RE ""PERFECT""",Word Play
SCIENTISTS,Science & Math
DRUMMER FOR THE BAND,Music & Theater
MONOLITHS,
GOOD CAUSES,
EARN YOUR LETTER,
ANCIENT ANGKOR,History & Politics
ITALY,Geography
NAME THE BIBLE BOOK,Literature & Philosophy
UMBRELLA POTPOURRI,Misc
"END ""SHIP""",Word Play
3 LAST WORDS,Word Play
VARIETY SLANGUAGE,
NELSON MANDELA,History & Politics
HUGO AWARDS FOR SCIENCE FICTION,Literature & Philosophy
1990s MUSIC,Music & Theater
WORLD PLACE NAMES,Geography
FUNNY THINGS PEOPLE SAY,Misc
A BUNCH OF STUFF,
A BINDER FULL OF WOMEN,History & Politics
AMERICAN AUTHORS,Literature & Philosophy
THAT 1870s SHOW,History & Politics
HOLIDAY FUN,Food & Culture
BEASTLY EXPRESSIONS,Languages
TV DRAMAS,TV & Film
FACTS & FIGURES,Misc
THE DARK NIGHT RISES,Science & Math
UNREAL ESTATE,
THE HEALTH BUSINESS,Misc
CATHEDRALS,Art & Architecture
ATHLETES' FILM QUOTES,TV & Film
MAYORS OF NYC,History & Politics
ABBREV. BACKWARDS & FORWARDS,Word Play
"""P""s ON EARTH",Geography
"OH, A WISE GUY!",Literature & Philosophy
ANIMAL TALK,Word Play
GOLD RUSH,
SILVER ANNIVERSARIES,
THE BRONZE AGE,
COLONIAL AMERICA,History & Politics
THE BAND'S KILLER ALBUM FILLER,Music & Theater
MED. ABBREV.,Word Play
WORLD UNIVERSITIES,Geography
LITERARY CHARACTERS,Literature & Philosophy
3 STRAIGHT VOWELS,Word Play
SPEECHWRITERS,History & Politics
"YOU KNOW, THE MOVIE WHERE...",TV & Film
SHAKESPEARE,Literature & Philosophy
ON WHAT CONTINENT?,Geography
"CHEW, CHEW",Food & Culture
TRAINS,Misc
"""WEE""!",Word Play
THE SPAIN! THE SPAIN!,
TV VILLAINS,TV & Film
CLASSICAL MUSIC,Music & Theater
PARTY HOPPING,History & Politics
YOU'VE GOT A DEAL,
RHYMING DICTIONARY,Word Play
THE UNIVERSE,
CHESS? YES!,Sports & Games
3-LETTER WORDS,Word Play
EXILED,
SHOPPING ABBREV.,Word Play
CELEBRITIES LOVE TV,TV & Film
"""V"" ARE THE WORLD",Geography
PARDON THE ERUPTION,Geography
OLYMPIC FACT SHEET,Sports & Games
AMERICAN ARCHITECTS,Art & Architecture
EDIBLE BEFORE & AFTER,Word Play
GEOGRAPHIC TITLES,Literature & Philosophy
"2 LETTERS, 1 WORD",Word Play
COLLEGES & UNIVERSITIES,Geography
FIRESTARTER,
NEEDFUL THINGS,
"""IT""",Word Play
CARRIE,Word Play
THE SHINING,Word Play
STEPHEN KING,Literature & Philosophy
ALL ABOUT ANIMALS,Science & Math
TOUCHED BY AN ANGLE,Science & Math
IT BORDERS THE ATLANTIC OCEAN,Geography
VIDEO-POURRI,Misc
MUSICALS' OPENING SONGS,Music & Theater
STARTS WITH A PIECE OF CLOTHING,Word Play
CLASSIC NOVELS,Literature & Philosophy
ALASKAN WILDLIFE,Science & Math
"""CROSS"" WORD CLUES",Word Play
& WHAT DO YOU DO?,
GET YOUR IRISH UP,
POP GO THE LYRICS!,Music & Theater
"WASHINGTON, D.C. SCULPTURE",Art & Architecture
WONKY LEAKS,
THE TONYS,Music & Theater
KNOW YOUR AREA CODES,Geography
QUOTES FILLED WITH BOOZE,Word Play
COMIC STRIP CHARACTERS,Literature & Philosophy
U.S. HISTORY,History & Politics
THE BIBLE,Literature & Philosophy
ROCK MUSIC,Music & Theater
LITERATURE,Literature & Philosophy
WORLD FACTS,History & Politics
FOOD & DRINK,Food & Culture
ROYAL RELATIVES,History & Politics
MOUNTAINS,Geography
HONORARY DEGREE RECIPIENTS,Misc
LANGUAGES,Languages
THEATRE,Music & Theater
ANIMALS,Science & Math
SPORTS,Sports & Games
FASHION,Food & Culture
19TH CENTURY AMERICA,History & Politics
PORTUGUESE WORDS & PHRASES,Languages
ODDS & ENDS,Misc
HISTORY,History & Politics
RELIGION,Food & Culture
FEDERAL AGENCIES,History & Politics
RECENT FICTION,Literature & Philosophy
ART HISTORY,Art & Architecture
THE 18th CENTURY,History & Politics
SINGERS PORTRAYED ON FILM,TV & Film
OYSTER STEW,Food & Culture
LONDON TRANSPORTATION,Geography
LETTERS & WORDS,Word Play
MARYLAND,Geography
"STARTING ""EN""",Word Play
